time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_gender,subject,entries,91AstarG,94AstarC,97AstarA,9to5,grade9,grade8,grade7,grade6,grade5,grade4,grade3,grade2,grade1,grade99,grade98,grade88,grade87,grade77,grade76,grade66,grade65,grade55,grade54,grade44,grade43,grade33,grade32,grade22,grade21,grade11,gradeAstar,gradeA,gradeB,gradeC,gradeD,gradeE,gradeF,gradeG
200910,Academic year,National,E92000001,England,Final,Total,Other Classical Studies,529,98.7,83.7,43.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,12.9,31,25.3,14.6,5.1,5.3,2.5,2.1
200910,Academic year,National,E92000001,England,Final,Boys,Other Classical Studies,152,98.7,80.3,40.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.5,29.6,24.3,15.8,4.6,7.9,2,3.9
200910,Academic year,National,E92000001,England,Final,Girls,Other Classical Studies,377,98.7,85.1,45.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,13.8,31.6,25.7,14.1,5.3,4.2,2.7,1.3
200910,Academic year,National,E92000001,England,Final,Total,Other Design and Technology,33978,96.9,62.6,18.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3.7,14.7,18.7,25.6,16.9,9.5,5.1,2.7
200910,Academic year,National,E92000001,England,Final,Boys,Other Design and Technology,22026,96.4,56.8,13,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2.1,10.9,17,26.8,19.2,11.1,6,3.3
200910,Academic year,National,E92000001,England,Final,Girls,Other Design and Technology,11952,97.7,73.4,28.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.8,21.5,21.7,23.4,12.6,6.5,3.5,1.7
200910,Academic year,National,E92000001,England,Final,Total,Other Modern Languages,9145,98.5,86.7,56.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,29.7,27,18,11.9,5.4,3.3,2.2,0.9
200910,Academic year,National,E92000001,England,Final,Boys,Other Modern Languages,4412,98.1,84.5,52.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,26.4,25.6,18.9,13.6,5.8,3.6,2.8,1.4
200910,Academic year,National,E92000001,England,Final,Girls,Other Modern Languages,4733,98.9,88.7,61,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,32.8,28.2,17.2,10.4,5.1,3,1.6,0.4
200910,Academic year,National,E92000001,England,Final,Total,Other Sciences,5513,96.2,59.8,21.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.7,12.6,16.6,22,14.2,11.2,7.4,3.6
200910,Academic year,National,E92000001,England,Final,Boys,Other Sciences,3612,96,60.8,23.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.2,13.1,15.8,21.7,13.4,10.6,7.4,3.9
200910,Academic year,National,E92000001,England,Final,Girls,Other Sciences,1901,96.5,58,17.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5.7,11.5,18.1,22.6,15.8,12.2,7.5,3.1
200910,Academic year,National,E92000001,England,Final,Total,Performing Arts,1854,96.2,59.2,16.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5.4,11,17.8,24.9,18.2,10.7,6.4,1.7
200910,Academic year,National,E92000001,England,Final,Boys,Performing Arts,648,94.9,48.3,11,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,4.2,6.8,13,24.4,18.8,14.4,10.5,2.9
200910,Academic year,National,E92000001,England,Final,Girls,Performing Arts,1206,96.9,65,19.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.1,13.3,20.4,25.2,17.9,8.8,4.1,1.1
200910,Academic year,National,E92000001,England,Final,Total,Physical Education,109614,99.8,69.3,24.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.9,17.8,23.4,21.3,21,6.9,2.1,0.5
200910,Academic year,National,E92000001,England,Final,Boys,Physical Education,71108,99.8,68.9,22.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5.5,17.1,24,22.3,21.5,6.9,2.1,0.4
200910,Academic year,National,E92000001,England,Final,Girls,Physical Education,38506,99.8,70.1,28.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,9.6,19.1,22.2,19.3,20.2,6.8,2.2,0.5
